action,landmark,variation,order,goal,task_id
go to hallway,True,22,26,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
open door to workshop,True,22,27,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
go to workshop,True,22,28,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
pick up substance in cup,False,22,29,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
open door to hallway,True,22,30,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
go to hallway,True,22,31,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
open door to kitchen,True,22,32,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
go to kitchen,True,22,33,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
focus on substance in inventory,True,22,34,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
move substance in inventory to metal pot,True,22,35,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
pick up metal pot,True,22,36,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
move metal pot to stove,True,22,37,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
activate stove,True,22,38,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
examine substance in metal pot,True,22,39,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
use thermometer in inventory on substance in metal pot,True,22,40,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
examine substance in metal pot,True,22,41,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
use thermometer in inventory on substance in metal pot,True,22,42,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
examine substance in metal pot,True,22,43,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
use thermometer in inventory on substance in metal pot,True,22,44,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
examine substance in metal pot,True,22,45,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
use thermometer in inventory on substance in metal pot,True,22,46,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
examine substance in metal pot,True,22,47,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
use thermometer in inventory on substance in metal pot,True,22,48,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
examine substance in metal pot,True,22,49,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
use thermometer in inventory on substance in metal pot,True,22,50,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
examine substance in metal pot,True,22,51,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
use thermometer in inventory on substance in metal pot,True,22,52,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
examine substance in metal pot,True,22,53,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
use thermometer in inventory on substance in metal pot,True,22,54,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
examine substance in metal pot,True,22,55,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
use thermometer in inventory on substance in metal pot,True,22,56,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
examine substance in metal pot,True,22,57,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
use thermometer in inventory on substance in metal pot,True,22,58,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
examine substance in metal pot,True,22,59,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
use thermometer in inventory on substance in metal pot,True,22,60,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
examine substance in metal pot,True,22,61,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
use thermometer in inventory on substance in metal pot,True,22,62,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
examine substance in metal pot,True,22,63,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
use thermometer in inventory on substance in metal pot,True,22,64,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
examine substance in metal pot,True,22,65,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
use thermometer in inventory on substance in metal pot,True,22,66,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
examine substance in metal pot,True,22,67,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
use thermometer in inventory on substance in metal pot,True,22,68,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
examine substance in metal pot,True,22,69,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
use thermometer in inventory on substance in metal pot,True,22,70,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
examine substance in metal pot,True,22,71,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
use thermometer in inventory on substance in metal pot,True,22,72,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
examine substance in metal pot,True,22,73,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
use thermometer in inventory on substance in metal pot,True,22,74,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
examine substance in metal pot,True,22,75,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
use thermometer in inventory on substance in metal pot,True,22,76,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
examine substance in metal pot,True,22,77,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
use thermometer in inventory on substance in metal pot,True,22,78,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
examine substance in metal pot,True,22,79,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
use thermometer in inventory on substance in metal pot,True,22,80,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
examine substance in metal pot,True,22,81,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
use thermometer in inventory on substance in metal pot,True,22,82,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
examine substance in metal pot,True,22,83,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
use thermometer in inventory on substance in metal pot,True,22,84,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
examine substance in metal pot,True,22,85,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
use thermometer in inventory on substance in metal pot,True,22,86,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
examine substance in metal pot,True,22,87,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
use thermometer in inventory on substance in metal pot,True,22,88,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
examine substance in metal pot,True,22,89,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
use thermometer in inventory on substance in metal pot,True,22,90,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
examine substance in metal pot,True,22,91,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
use thermometer in inventory on substance in metal pot,True,22,92,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
examine substance in metal pot,True,22,93,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
use thermometer in inventory on substance in metal pot,True,22,94,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
examine substance in metal pot,True,22,95,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
use thermometer in inventory on substance in metal pot,True,22,96,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
examine substance in metal pot,True,22,97,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
use thermometer in inventory on substance in metal pot,True,22,98,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
pick up metal pot,True,22,99,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
open door to outside,True,22,100,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
go to outside,True,22,101,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
open door to foundry,True,22,102,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
go to foundry,True,22,103,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
open blast furnace,True,22,104,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
move metal pot to blast furnace,True,22,105,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
activate blast furnace,True,22,106,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
examine substance in metal pot,True,22,107,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
