p,h,output,model
You see a book shelf (containing A book (Frankenstein) titled Frankenstein by Mary Wollstonecraft Shelley),you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
You see a chair. On the chair is: nothing.,you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
You see a couch. On the couch is: a white pillow.,you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
You see a desk. On the desk is: a drawer.,you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
You see a painting,you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
A door to the hallway (that is open),you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
"In your inventory, you see: an orange ",you are in living room,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the living room.,you are in living room,0,MoritzLaurer/MiniLM-L6-mnli
You see the agent,you are in living room,2,MoritzLaurer/MiniLM-L6-mnli
You see a substance called air,you are in living room,2,MoritzLaurer/MiniLM-L6-mnli
You see a book shelf (containing A book (Frankenstein) titled Frankenstein by Mary Wollstonecraft Shelley),you are in living room,2,MoritzLaurer/MiniLM-L6-mnli
You see a chair. On the chair is: nothing.,you are in living room,2,MoritzLaurer/MiniLM-L6-mnli
You see a couch. On the couch is: a white pillow.,you are in living room,2,MoritzLaurer/MiniLM-L6-mnli
You see a desk. On the desk is: a drawer.,you are in living room,2,MoritzLaurer/MiniLM-L6-mnli
You see a painting,you are in living room,2,MoritzLaurer/MiniLM-L6-mnli
A door to the hallway (that is open),you are in living room,2,MoritzLaurer/MiniLM-L6-mnli
"In your inventory, you see: an orange ",you are in workshop,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the living room.,you are in workshop,2,MoritzLaurer/MiniLM-L6-mnli
You see the agent,you are in workshop,1,MoritzLaurer/MiniLM-L6-mnli
You see a substance called air,you are in workshop,1,MoritzLaurer/MiniLM-L6-mnli
You see a book shelf (containing A book (Frankenstein) titled Frankenstein by Mary Wollstonecraft Shelley),you are in workshop,2,MoritzLaurer/MiniLM-L6-mnli
You see a chair. On the chair is: nothing.,you are in workshop,2,MoritzLaurer/MiniLM-L6-mnli
You see a couch. On the couch is: a white pillow.,you are in workshop,2,MoritzLaurer/MiniLM-L6-mnli
You see a desk. On the desk is: a drawer.,you are in workshop,2,MoritzLaurer/MiniLM-L6-mnli
You see a painting,you are in workshop,1,MoritzLaurer/MiniLM-L6-mnli
A door to the hallway (that is open),you are in workshop,2,MoritzLaurer/MiniLM-L6-mnli
"In your inventory, you see: an orange ",you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the living room.,you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
You see the agent,you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
You see a substance called air,you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
You see a book shelf (containing A book (Frankenstein) titled Frankenstein by Mary Wollstonecraft Shelley),you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
You see a chair. On the chair is: nothing.,you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
You see a couch. On the couch is: a white pillow.,you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
You see a desk. On the desk is: a drawer.,you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
You see a painting,you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
A door to the hallway (that is open),you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
"In your inventory, you see: an orange ",you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the living room.,you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
You see the agent,you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
You see a substance called air,you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
You see a book shelf (containing A book (Frankenstein) titled Frankenstein by Mary Wollstonecraft Shelley),you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
You see a chair. On the chair is: nothing.,you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
You see a couch. On the couch is: a white pillow.,you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
You see a desk. On the desk is: a drawer.,you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
You see a painting,you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
A door to the hallway (that is open),you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
"In your inventory, you see: an orange ",you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the living room.,you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
You see the agent,you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a substance called air,you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a book shelf (containing A book (Frankenstein) titled Frankenstein by Mary Wollstonecraft Shelley),you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a chair. On the chair is: nothing.,you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a couch. On the couch is: a white pillow.,you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a desk. On the desk is: a drawer.,you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a painting,you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
A door to the hallway (that is open),you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
"In your inventory, you see: an orange a thermometer, currently reading a temperature of 10 degrees celsius ",you are not in workshop,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the kitchen.,you are not in workshop,2,MoritzLaurer/MiniLM-L6-mnli
You see the agent,you are not in workshop,2,MoritzLaurer/MiniLM-L6-mnli
You see a substance called air,you are not in workshop,2,MoritzLaurer/MiniLM-L6-mnli
You see a chair. On the chair is: nothing.,you are not in workshop,1,MoritzLaurer/MiniLM-L6-mnli
"You see a counter. On the counter is: a bowl (containing a red apple, a banana, an orange, a potato), a drawer.",you are not in workshop,2,MoritzLaurer/MiniLM-L6-mnli
You see a cupboard. The cupboard door is closed.,you are not in workshop,2,MoritzLaurer/MiniLM-L6-mnli
You see a freezer. The freezer door is closed.,you are not in workshop,2,MoritzLaurer/MiniLM-L6-mnli
You see a fridge. The fridge door is closed.,you are not in workshop,1,MoritzLaurer/MiniLM-L6-mnli
You see a glass jar (containing a substance called sodium chloride),you are not in workshop,2,MoritzLaurer/MiniLM-L6-mnli
You see a lighter,you are not in workshop,2,MoritzLaurer/MiniLM-L6-mnli
"You see a oven, which is turned off. The oven door is closed.",you are not in workshop,2,MoritzLaurer/MiniLM-L6-mnli
You see a painting,you are not in workshop,2,MoritzLaurer/MiniLM-L6-mnli
"You see a sink, which is turned off. In the sink is: nothing.",you are not in workshop,1,MoritzLaurer/MiniLM-L6-mnli
You see a substance called soap,you are not in workshop,2,MoritzLaurer/MiniLM-L6-mnli
"You see a stopwatch, which is deactivated.",you are not in workshop,2,MoritzLaurer/MiniLM-L6-mnli
"You see a stove, which is turned off. On the stove is: nothing.",you are not in workshop,1,MoritzLaurer/MiniLM-L6-mnli
You see a table. On the table is: a glass cup (containing nothing).,you are not in workshop,1,MoritzLaurer/MiniLM-L6-mnli
A door to the bathroom (that is open),you are not in workshop,2,MoritzLaurer/MiniLM-L6-mnli
A door to the hallway (that is open),you are not in workshop,2,MoritzLaurer/MiniLM-L6-mnli
A door to the outside (that is open),you are not in workshop,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the bathroom.,you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
"You see a bathtub, which is turned off. In the bathtub is: nothing.",you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
You see a drawing,you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
You see a glass cup (containing nothing),you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
"You see a sink, which is turned off. In the sink is: nothing.",you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
"You see a toilet. In the toilet is: A drain, which is open, a substance called water.",you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
A door to the kitchen (that is open),you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the bathroom.,you are in art studio,2,MoritzLaurer/MiniLM-L6-mnli
"You see a bathtub, which is turned off. In the bathtub is: nothing.",you are in art studio,2,MoritzLaurer/MiniLM-L6-mnli
You see a drawing,you are in art studio,1,MoritzLaurer/MiniLM-L6-mnli
You see a glass cup (containing nothing),you are in art studio,2,MoritzLaurer/MiniLM-L6-mnli
"You see a sink, which is turned off. In the sink is: nothing.",you are in art studio,2,MoritzLaurer/MiniLM-L6-mnli
"You see a toilet. In the toilet is: A drain, which is open, a substance called water.",you are in art studio,2,MoritzLaurer/MiniLM-L6-mnli
A door to the kitchen (that is open),you are in art studio,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the bathroom.,you are in bedroom,0,MoritzLaurer/MiniLM-L6-mnli
"You see a bathtub, which is turned off. In the bathtub is: nothing.",you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a drawing,you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a glass cup (containing nothing),you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
"You see a sink, which is turned off. In the sink is: nothing.",you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
"You see a toilet. In the toilet is: A drain, which is open, a substance called water.",you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
A door to the kitchen (that is open),you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the bathroom.,you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
"You see a bathtub, which is turned off. In the bathtub is: nothing.",you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
You see a drawing,you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
You see a glass cup (containing nothing),you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
"You see a sink, which is turned off. In the sink is: nothing.",you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
"You see a toilet. In the toilet is: A drain, which is open, a substance called water.",you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
A door to the kitchen (that is open),you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the bathroom.,you are in living room,2,MoritzLaurer/MiniLM-L6-mnli
"You see a bathtub, which is turned off. In the bathtub is: nothing.",you are in living room,2,MoritzLaurer/MiniLM-L6-mnli
You see a drawing,you are in living room,2,MoritzLaurer/MiniLM-L6-mnli
You see a glass cup (containing nothing),you are in living room,2,MoritzLaurer/MiniLM-L6-mnli
"You see a sink, which is turned off. In the sink is: nothing.",you are in living room,2,MoritzLaurer/MiniLM-L6-mnli
"You see a toilet. In the toilet is: A drain, which is open, a substance called water.",you are in living room,2,MoritzLaurer/MiniLM-L6-mnli
A door to the kitchen (that is open),you are in living room,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the bathroom.,you are in workshop,2,MoritzLaurer/MiniLM-L6-mnli
"You see a bathtub, which is turned off. In the bathtub is: nothing.",you are in workshop,2,MoritzLaurer/MiniLM-L6-mnli
You see a drawing,you are in workshop,1,MoritzLaurer/MiniLM-L6-mnli
You see a glass cup (containing nothing),you are in workshop,2,MoritzLaurer/MiniLM-L6-mnli
"You see a sink, which is turned off. In the sink is: nothing.",you are in workshop,2,MoritzLaurer/MiniLM-L6-mnli
"You see a toilet. In the toilet is: A drain, which is open, a substance called water.",you are in workshop,2,MoritzLaurer/MiniLM-L6-mnli
A door to the kitchen (that is open),you are in workshop,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the bathroom.,you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
"You see a bathtub, which is turned off. In the bathtub is: nothing.",you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
You see a drawing,you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
You see a glass cup (containing nothing),you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
"You see a sink, which is turned off. In the sink is: nothing.",you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
"You see a toilet. In the toilet is: A drain, which is open, a substance called water.",you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
A door to the kitchen (that is open),you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the bathroom.,you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
"You see a bathtub, which is turned off. In the bathtub is: nothing.",you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
You see a drawing,you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
You see a glass cup (containing nothing),you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
"You see a sink, which is turned off. In the sink is: nothing.",you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
"You see a toilet. In the toilet is: A drain, which is open, a substance called water.",you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
A door to the kitchen (that is open),you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the bathroom.,you are in bathroom,0,MoritzLaurer/MiniLM-L6-mnli
"You see a bathtub, which is turned off. In the bathtub is: nothing.",you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a drawing,you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a glass cup (containing nothing),you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
"You see a sink, which is turned off. In the sink is: nothing.",you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
"You see a toilet. In the toilet is: A drain, which is open, a substance called water.",you are in bathroom,0,MoritzLaurer/MiniLM-L6-mnli
A door to the kitchen (that is open),you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
"In your inventory, you see: an orange a thermometer, currently reading a temperature of 10 degrees celsius ", you see a cupboard,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the kitchen., you see a cupboard,2,MoritzLaurer/MiniLM-L6-mnli
You see the agent, you see a cupboard,2,MoritzLaurer/MiniLM-L6-mnli
You see a substance called air, you see a cupboard,2,MoritzLaurer/MiniLM-L6-mnli
You see a chair. On the chair is: nothing., you see a cupboard,2,MoritzLaurer/MiniLM-L6-mnli
"You see a counter. On the counter is: a bowl (containing a red apple, a banana, an orange, a potato), a drawer.", you see a cupboard,0,MoritzLaurer/MiniLM-L6-mnli
You see a cupboard. The cupboard door is closed., you see a cupboard,0,MoritzLaurer/MiniLM-L6-mnli
You see a freezer. The freezer door is closed., you see a cupboard,2,MoritzLaurer/MiniLM-L6-mnli
You see a fridge. The fridge door is closed., you see a cupboard,2,MoritzLaurer/MiniLM-L6-mnli
You see a glass jar (containing a substance called sodium chloride), you see a cupboard,2,MoritzLaurer/MiniLM-L6-mnli
You see a lighter, you see a cupboard,1,MoritzLaurer/MiniLM-L6-mnli
"You see a oven, which is turned off. The oven door is closed.", you see a cupboard,2,MoritzLaurer/MiniLM-L6-mnli
You see a painting, you see a cupboard,2,MoritzLaurer/MiniLM-L6-mnli
"You see a sink, which is turned off. In the sink is: nothing.", you see a cupboard,2,MoritzLaurer/MiniLM-L6-mnli
You see a substance called soap, you see a cupboard,2,MoritzLaurer/MiniLM-L6-mnli
"You see a stopwatch, which is deactivated.", you see a cupboard,2,MoritzLaurer/MiniLM-L6-mnli
"You see a stove, which is turned off. On the stove is: nothing.", you see a cupboard,2,MoritzLaurer/MiniLM-L6-mnli
You see a table. On the table is: a glass cup (containing nothing)., you see a cupboard,2,MoritzLaurer/MiniLM-L6-mnli
A door to the bathroom (that is open), you see a cupboard,2,MoritzLaurer/MiniLM-L6-mnli
A door to the hallway (that is open), you see a cupboard,2,MoritzLaurer/MiniLM-L6-mnli
A door to the outside (that is open), you see a cupboard,2,MoritzLaurer/MiniLM-L6-mnli
"In your inventory, you see: an orange a thermometer, currently reading a temperature of 10 degrees celsius ",you are in the kitchen ,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the kitchen.,you are in the kitchen ,0,MoritzLaurer/MiniLM-L6-mnli
You see the agent,you are in the kitchen ,2,MoritzLaurer/MiniLM-L6-mnli
You see a substance called air,you are in the kitchen ,2,MoritzLaurer/MiniLM-L6-mnli
You see a chair. On the chair is: nothing.,you are in the kitchen ,2,MoritzLaurer/MiniLM-L6-mnli
"You see a counter. On the counter is: a bowl (containing a red apple, a banana, an orange, a potato), a drawer.",you are in the kitchen ,2,MoritzLaurer/MiniLM-L6-mnli
You see a cupboard. The cupboard door is closed.,you are in the kitchen ,2,MoritzLaurer/MiniLM-L6-mnli
You see a freezer. The freezer door is closed.,you are in the kitchen ,2,MoritzLaurer/MiniLM-L6-mnli
You see a fridge. The fridge door is closed.,you are in the kitchen ,2,MoritzLaurer/MiniLM-L6-mnli
You see a glass jar (containing a substance called sodium chloride),you are in the kitchen ,2,MoritzLaurer/MiniLM-L6-mnli
You see a lighter,you are in the kitchen ,1,MoritzLaurer/MiniLM-L6-mnli
"You see a oven, which is turned off. The oven door is closed.",you are in the kitchen ,2,MoritzLaurer/MiniLM-L6-mnli
You see a painting,you are in the kitchen ,2,MoritzLaurer/MiniLM-L6-mnli
"You see a sink, which is turned off. In the sink is: nothing.",you are in the kitchen ,2,MoritzLaurer/MiniLM-L6-mnli
You see a substance called soap,you are in the kitchen ,2,MoritzLaurer/MiniLM-L6-mnli
"You see a stopwatch, which is deactivated.",you are in the kitchen ,2,MoritzLaurer/MiniLM-L6-mnli
"You see a stove, which is turned off. On the stove is: nothing.",you are in the kitchen ,2,MoritzLaurer/MiniLM-L6-mnli
You see a table. On the table is: a glass cup (containing nothing).,you are in the kitchen ,2,MoritzLaurer/MiniLM-L6-mnli
A door to the bathroom (that is open),you are in the kitchen ,2,MoritzLaurer/MiniLM-L6-mnli
A door to the hallway (that is open),you are in the kitchen ,2,MoritzLaurer/MiniLM-L6-mnli
A door to the outside (that is open),you are in the kitchen ,2,MoritzLaurer/MiniLM-L6-mnli
"In your inventory, you see: a metal pot (containing nothing) an orange a thermometer, currently reading a temperature of 10 degrees celsius ", you have metal pot in your inventory,0,MoritzLaurer/MiniLM-L6-mnli
This room is called the kitchen., you have metal pot in your inventory,1,MoritzLaurer/MiniLM-L6-mnli
You see the agent, you have metal pot in your inventory,1,MoritzLaurer/MiniLM-L6-mnli
You see a substance called air, you have metal pot in your inventory,2,MoritzLaurer/MiniLM-L6-mnli
You see a chair. On the chair is: nothing., you have metal pot in your inventory,1,MoritzLaurer/MiniLM-L6-mnli
"You see a counter. On the counter is: a bowl (containing a red apple, a banana, an orange, a potato), a drawer.", you have metal pot in your inventory,2,MoritzLaurer/MiniLM-L6-mnli
"You see a cupboard. The cupboard door is open. In the cupboard is: a ceramic cup (containing nothing), a drawer, a tin cup (containing nothing).", you have metal pot in your inventory,2,MoritzLaurer/MiniLM-L6-mnli
You see a freezer. The freezer door is closed., you have metal pot in your inventory,1,MoritzLaurer/MiniLM-L6-mnli
You see a fridge. The fridge door is closed., you have metal pot in your inventory,1,MoritzLaurer/MiniLM-L6-mnli
You see a glass jar (containing a substance called sodium chloride), you have metal pot in your inventory,2,MoritzLaurer/MiniLM-L6-mnli
You see a lighter, you have metal pot in your inventory,1,MoritzLaurer/MiniLM-L6-mnli
"You see a oven, which is turned off. The oven door is closed.", you have metal pot in your inventory,1,MoritzLaurer/MiniLM-L6-mnli
You see a painting, you have metal pot in your inventory,2,MoritzLaurer/MiniLM-L6-mnli
"You see a sink, which is turned off. In the sink is: nothing.", you have metal pot in your inventory,1,MoritzLaurer/MiniLM-L6-mnli
You see a substance called soap, you have metal pot in your inventory,2,MoritzLaurer/MiniLM-L6-mnli
"You see a stopwatch, which is deactivated.", you have metal pot in your inventory,1,MoritzLaurer/MiniLM-L6-mnli
"You see a stove, which is turned off. On the stove is: nothing.", you have metal pot in your inventory,1,MoritzLaurer/MiniLM-L6-mnli
You see a table. On the table is: a glass cup (containing nothing)., you have metal pot in your inventory,2,MoritzLaurer/MiniLM-L6-mnli
A door to the bathroom (that is open), you have metal pot in your inventory,1,MoritzLaurer/MiniLM-L6-mnli
A door to the hallway (that is open), you have metal pot in your inventory,1,MoritzLaurer/MiniLM-L6-mnli
A door to the outside (that is open), you have metal pot in your inventory,1,MoritzLaurer/MiniLM-L6-mnli
"In your inventory, you see: a metal pot (containing nothing) an orange a thermometer, currently reading a temperature of 10 degrees celsius ",you are not in workshop ,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the kitchen.,you are not in workshop ,2,MoritzLaurer/MiniLM-L6-mnli
You see the agent,you are not in workshop ,2,MoritzLaurer/MiniLM-L6-mnli
You see a substance called air,you are not in workshop ,2,MoritzLaurer/MiniLM-L6-mnli
You see a chair. On the chair is: nothing.,you are not in workshop ,1,MoritzLaurer/MiniLM-L6-mnli
"You see a counter. On the counter is: a bowl (containing a red apple, a banana, an orange, a potato), a drawer.",you are not in workshop ,2,MoritzLaurer/MiniLM-L6-mnli
"You see a cupboard. The cupboard door is open. In the cupboard is: a ceramic cup (containing nothing), a drawer, a tin cup (containing nothing).",you are not in workshop ,2,MoritzLaurer/MiniLM-L6-mnli
You see a freezer. The freezer door is closed.,you are not in workshop ,2,MoritzLaurer/MiniLM-L6-mnli
You see a fridge. The fridge door is closed.,you are not in workshop ,1,MoritzLaurer/MiniLM-L6-mnli
You see a glass jar (containing a substance called sodium chloride),you are not in workshop ,2,MoritzLaurer/MiniLM-L6-mnli
You see a lighter,you are not in workshop ,2,MoritzLaurer/MiniLM-L6-mnli
"You see a oven, which is turned off. The oven door is closed.",you are not in workshop ,2,MoritzLaurer/MiniLM-L6-mnli
You see a painting,you are not in workshop ,2,MoritzLaurer/MiniLM-L6-mnli
"You see a sink, which is turned off. In the sink is: nothing.",you are not in workshop ,1,MoritzLaurer/MiniLM-L6-mnli
You see a substance called soap,you are not in workshop ,2,MoritzLaurer/MiniLM-L6-mnli
"You see a stopwatch, which is deactivated.",you are not in workshop ,2,MoritzLaurer/MiniLM-L6-mnli
"You see a stove, which is turned off. On the stove is: nothing.",you are not in workshop ,1,MoritzLaurer/MiniLM-L6-mnli
You see a table. On the table is: a glass cup (containing nothing).,you are not in workshop ,1,MoritzLaurer/MiniLM-L6-mnli
A door to the bathroom (that is open),you are not in workshop ,2,MoritzLaurer/MiniLM-L6-mnli
A door to the hallway (that is open),you are not in workshop ,2,MoritzLaurer/MiniLM-L6-mnli
A door to the outside (that is open),you are not in workshop ,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the greenhouse.,you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
You see a bee hive. The bee hive door is closed.,you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
You see a jug (containing nothing),you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
You see a shovel,you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
A door to the outside (that is open),you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the greenhouse.,you are in art studio,2,MoritzLaurer/MiniLM-L6-mnli
You see a bee hive. The bee hive door is closed.,you are in art studio,2,MoritzLaurer/MiniLM-L6-mnli
You see a jug (containing nothing),you are in art studio,1,MoritzLaurer/MiniLM-L6-mnli
You see a shovel,you are in art studio,2,MoritzLaurer/MiniLM-L6-mnli
"You see a sink, which is turned off. In the sink is: nothing.",you are in art studio,1,MoritzLaurer/MiniLM-L6-mnli
A door to the outside (that is open),you are in art studio,1,MoritzLaurer/MiniLM-L6-mnli
This room is called the greenhouse.,you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a bee hive. The bee hive door is closed.,you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a jug (containing nothing),you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a shovel,you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
A door to the outside (that is open),you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the greenhouse.,you are in greenhouse,0,MoritzLaurer/MiniLM-L6-mnli
You see a bee hive. The bee hive door is closed.,you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
You see a jug (containing nothing),you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
You see a shovel,you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
A door to the outside (that is open),you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the greenhouse.,you are in living room,2,MoritzLaurer/MiniLM-L6-mnli
You see a bee hive. The bee hive door is closed.,you are in living room,2,MoritzLaurer/MiniLM-L6-mnli
You see a jug (containing nothing),you are in living room,2,MoritzLaurer/MiniLM-L6-mnli
You see a shovel,you are in living room,2,MoritzLaurer/MiniLM-L6-mnli
A door to the outside (that is open),you are in living room,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the greenhouse.,you are in workshop,2,MoritzLaurer/MiniLM-L6-mnli
