p,h,output,model
You see a table. On the table is: a bowl (containing nothing).,you are in workshop,2,MoritzLaurer/MiniLM-L6-mnli
You see a wood cup (containing blue paint),you are in workshop,1,MoritzLaurer/MiniLM-L6-mnli
You see a wood cup (containing red paint),you are in workshop,1,MoritzLaurer/MiniLM-L6-mnli
You see a wood cup (containing yellow paint),you are in workshop,1,MoritzLaurer/MiniLM-L6-mnli
A door to the hallway (that is open),you are in workshop,2,MoritzLaurer/MiniLM-L6-mnli
"In your inventory, you see: an orange ",you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the art studio.,you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
You see the agent,you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
You see a substance called air,you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
You see a large cupboard. The large cupboard door is closed.,you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
You see a table. On the table is: a bowl (containing nothing).,you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
You see a wood cup (containing blue paint),you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
You see a wood cup (containing red paint),you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
You see a wood cup (containing yellow paint),you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
A door to the hallway (that is open),you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
"In your inventory, you see: an orange ",you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the art studio.,you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
You see the agent,you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
You see a substance called air,you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
You see a large cupboard. The large cupboard door is closed.,you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
You see a table. On the table is: a bowl (containing nothing).,you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
You see a wood cup (containing blue paint),you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
You see a wood cup (containing red paint),you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
You see a wood cup (containing yellow paint),you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
A door to the hallway (that is open),you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
"In your inventory, you see: an orange ",you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the art studio.,you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
You see the agent,you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a substance called air,you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a large cupboard. The large cupboard door is closed.,you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a table. On the table is: a bowl (containing nothing).,you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a wood cup (containing blue paint),you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a wood cup (containing red paint),you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a wood cup (containing yellow paint),you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
A door to the hallway (that is open),you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
"In your inventory, you see: an orange a thermometer, currently reading a temperature of 10 degrees celsius ",you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the kitchen.,you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
You see a chair. On the chair is: nothing.,you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
"You see a counter. On the counter is: a bowl (containing a red apple, a banana, an orange, a potato), a drawer.",you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
You see a cupboard. The cupboard door is closed.,you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
You see a freezer. The freezer door is closed.,you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
You see a fridge. The fridge door is closed.,you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
You see a glass jar (containing a substance called sodium chloride),you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
You see a lighter,you are in hallway,1,MoritzLaurer/MiniLM-L6-mnli
"You see a oven, which is turned off. The oven door is closed.",you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
You see a painting,you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
"You see a sink, which is turned off. In the sink is: nothing.",you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
You see a substance called soap,you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
"You see a stopwatch, which is deactivated.",you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
"You see a stove, which is turned off. On the stove is: nothing.",you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
You see a table. On the table is: a glass cup (containing nothing).,you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
A door to the bathroom (that is open),you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
A door to the outside (that is open),you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
"In your inventory, you see: an orange a thermometer, currently reading a temperature of 10 degrees celsius ",you are in art studio,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the kitchen.,you are in art studio,2,MoritzLaurer/MiniLM-L6-mnli
You see a chair. On the chair is: nothing.,you are in art studio,2,MoritzLaurer/MiniLM-L6-mnli
"You see a counter. On the counter is: a bowl (containing a red apple, a banana, an orange, a potato), a drawer.",you are in art studio,2,MoritzLaurer/MiniLM-L6-mnli
You see a cupboard. The cupboard door is closed.,you are in art studio,2,MoritzLaurer/MiniLM-L6-mnli
You see a freezer. The freezer door is closed.,you are in art studio,1,MoritzLaurer/MiniLM-L6-mnli
You see a fridge. The fridge door is closed.,you are in art studio,2,MoritzLaurer/MiniLM-L6-mnli
You see a glass jar (containing a substance called sodium chloride),you are in art studio,1,MoritzLaurer/MiniLM-L6-mnli
You see a lighter,you are in art studio,1,MoritzLaurer/MiniLM-L6-mnli
"You see a oven, which is turned off. The oven door is closed.",you are in art studio,1,MoritzLaurer/MiniLM-L6-mnli
You see a painting,you are in art studio,1,MoritzLaurer/MiniLM-L6-mnli
"You see a sink, which is turned off. In the sink is: nothing.",you are in art studio,2,MoritzLaurer/MiniLM-L6-mnli
You see a substance called soap,you are in art studio,2,MoritzLaurer/MiniLM-L6-mnli
"You see a stopwatch, which is deactivated.",you are in art studio,1,MoritzLaurer/MiniLM-L6-mnli
"You see a stove, which is turned off. On the stove is: nothing.",you are in art studio,2,MoritzLaurer/MiniLM-L6-mnli
You see a table. On the table is: a glass cup (containing nothing).,you are in art studio,2,MoritzLaurer/MiniLM-L6-mnli
A door to the bathroom (that is open),you are in art studio,2,MoritzLaurer/MiniLM-L6-mnli
A door to the outside (that is open),you are in art studio,1,MoritzLaurer/MiniLM-L6-mnli
"In your inventory, you see: an orange a thermometer, currently reading a temperature of 10 degrees celsius ",you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the kitchen.,you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a chair. On the chair is: nothing.,you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
"You see a counter. On the counter is: a bowl (containing a red apple, a banana, an orange, a potato), a drawer.",you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a cupboard. The cupboard door is closed.,you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a freezer. The freezer door is closed.,you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a fridge. The fridge door is closed.,you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a glass jar (containing a substance called sodium chloride),you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a lighter,you are in bedroom,1,MoritzLaurer/MiniLM-L6-mnli
"You see a oven, which is turned off. The oven door is closed.",you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a painting,you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
"You see a sink, which is turned off. In the sink is: nothing.",you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a substance called soap,you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
"You see a stopwatch, which is deactivated.",you are in bedroom,1,MoritzLaurer/MiniLM-L6-mnli
"You see a stove, which is turned off. On the stove is: nothing.",you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a table. On the table is: a glass cup (containing nothing).,you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
A door to the bathroom (that is open),you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
A door to the outside (that is open),you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
"In your inventory, you see: an orange a thermometer, currently reading a temperature of 10 degrees celsius ",you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the kitchen.,you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
You see a chair. On the chair is: nothing.,you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
"You see a counter. On the counter is: a bowl (containing a red apple, a banana, an orange, a potato), a drawer.",you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
You see a cupboard. The cupboard door is closed.,you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
You see a freezer. The freezer door is closed.,you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
You see a fridge. The fridge door is closed.,you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
You see a glass jar (containing a substance called sodium chloride),you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
You see a lighter,you are in greenhouse,1,MoritzLaurer/MiniLM-L6-mnli
"You see a oven, which is turned off. The oven door is closed.",you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
You see a painting,you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
"You see a sink, which is turned off. In the sink is: nothing.",you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
You see a substance called soap,you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
"You see a stopwatch, which is deactivated.",you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
"You see a stove, which is turned off. On the stove is: nothing.",you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
You see a table. On the table is: a glass cup (containing nothing).,you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
A door to the bathroom (that is open),you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
A door to the outside (that is open),you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
"In your inventory, you see: an orange a thermometer, currently reading a temperature of 10 degrees celsius ",you are in kitchen,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the kitchen.,you are in kitchen,0,MoritzLaurer/MiniLM-L6-mnli
You see the agent,you are in kitchen,2,MoritzLaurer/MiniLM-L6-mnli
You see a substance called air,you are in kitchen,2,MoritzLaurer/MiniLM-L6-mnli
You see a chair. On the chair is: nothing.,you are in kitchen,2,MoritzLaurer/MiniLM-L6-mnli
"You see a counter. On the counter is: a bowl (containing a red apple, a banana, an orange, a potato), a drawer.",you are in kitchen,2,MoritzLaurer/MiniLM-L6-mnli
You see a cupboard. The cupboard door is closed.,you are in kitchen,2,MoritzLaurer/MiniLM-L6-mnli
You see a freezer. The freezer door is closed.,you are in kitchen,2,MoritzLaurer/MiniLM-L6-mnli
You see a fridge. The fridge door is closed.,you are in kitchen,2,MoritzLaurer/MiniLM-L6-mnli
You see a glass jar (containing a substance called sodium chloride),you are in kitchen,2,MoritzLaurer/MiniLM-L6-mnli
You see a lighter,you are in kitchen,1,MoritzLaurer/MiniLM-L6-mnli
"You see a oven, which is turned off. The oven door is closed.",you are in kitchen,2,MoritzLaurer/MiniLM-L6-mnli
You see a painting,you are in kitchen,2,MoritzLaurer/MiniLM-L6-mnli
"You see a sink, which is turned off. In the sink is: nothing.",you are in kitchen,2,MoritzLaurer/MiniLM-L6-mnli
You see a substance called soap,you are in kitchen,2,MoritzLaurer/MiniLM-L6-mnli
"You see a stopwatch, which is deactivated.",you are in kitchen,2,MoritzLaurer/MiniLM-L6-mnli
"You see a stove, which is turned off. On the stove is: nothing.",you are in kitchen,2,MoritzLaurer/MiniLM-L6-mnli
You see a table. On the table is: a glass cup (containing nothing).,you are in kitchen,2,MoritzLaurer/MiniLM-L6-mnli
A door to the bathroom (that is open),you are in kitchen,2,MoritzLaurer/MiniLM-L6-mnli
A door to the hallway (that is open),you are in kitchen,2,MoritzLaurer/MiniLM-L6-mnli
A door to the outside (that is open),you are in kitchen,2,MoritzLaurer/MiniLM-L6-mnli
"In your inventory, you see: an orange a thermometer, currently reading a temperature of 10 degrees celsius ",you are in workshop,1,MoritzLaurer/MiniLM-L6-mnli
This room is called the kitchen.,you are in workshop,2,MoritzLaurer/MiniLM-L6-mnli
You see a chair. On the chair is: nothing.,you are in workshop,2,MoritzLaurer/MiniLM-L6-mnli
"You see a counter. On the counter is: a bowl (containing a red apple, a banana, an orange, a potato), a drawer.",you are in workshop,2,MoritzLaurer/MiniLM-L6-mnli
You see a cupboard. The cupboard door is closed.,you are in workshop,2,MoritzLaurer/MiniLM-L6-mnli
You see a freezer. The freezer door is closed.,you are in workshop,1,MoritzLaurer/MiniLM-L6-mnli
You see a fridge. The fridge door is closed.,you are in workshop,2,MoritzLaurer/MiniLM-L6-mnli
You see a glass jar (containing a substance called sodium chloride),you are in workshop,1,MoritzLaurer/MiniLM-L6-mnli
You see a lighter,you are in workshop,1,MoritzLaurer/MiniLM-L6-mnli
"You see a oven, which is turned off. The oven door is closed.",you are in workshop,2,MoritzLaurer/MiniLM-L6-mnli
You see a painting,you are in workshop,1,MoritzLaurer/MiniLM-L6-mnli
"You see a sink, which is turned off. In the sink is: nothing.",you are in workshop,2,MoritzLaurer/MiniLM-L6-mnli
You see a substance called soap,you are in workshop,1,MoritzLaurer/MiniLM-L6-mnli
"You see a stopwatch, which is deactivated.",you are in workshop,2,MoritzLaurer/MiniLM-L6-mnli
"You see a stove, which is turned off. On the stove is: nothing.",you are in workshop,2,MoritzLaurer/MiniLM-L6-mnli
You see a table. On the table is: a glass cup (containing nothing).,you are in workshop,2,MoritzLaurer/MiniLM-L6-mnli
A door to the bathroom (that is open),you are in workshop,2,MoritzLaurer/MiniLM-L6-mnli
A door to the outside (that is open),you are in workshop,1,MoritzLaurer/MiniLM-L6-mnli
"In your inventory, you see: an orange a thermometer, currently reading a temperature of 10 degrees celsius ",you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the kitchen.,you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
You see a chair. On the chair is: nothing.,you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
"You see a counter. On the counter is: a bowl (containing a red apple, a banana, an orange, a potato), a drawer.",you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
You see a cupboard. The cupboard door is closed.,you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
You see a freezer. The freezer door is closed.,you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
You see a fridge. The fridge door is closed.,you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
You see a glass jar (containing a substance called sodium chloride),you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
You see a lighter,you are in outside,1,MoritzLaurer/MiniLM-L6-mnli
"You see a oven, which is turned off. The oven door is closed.",you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
You see a painting,you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
"You see a sink, which is turned off. In the sink is: nothing.",you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
You see a substance called soap,you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
"You see a stopwatch, which is deactivated.",you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
"You see a stove, which is turned off. On the stove is: nothing.",you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
You see a table. On the table is: a glass cup (containing nothing).,you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
A door to the bathroom (that is open),you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
A door to the outside (that is open),you are in outside,0,MoritzLaurer/MiniLM-L6-mnli
"In your inventory, you see: an orange a thermometer, currently reading a temperature of 10 degrees celsius ",you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the kitchen.,you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
You see a chair. On the chair is: nothing.,you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
"You see a counter. On the counter is: a bowl (containing a red apple, a banana, an orange, a potato), a drawer.",you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
You see a cupboard. The cupboard door is closed.,you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
You see a freezer. The freezer door is closed.,you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
You see a fridge. The fridge door is closed.,you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
You see a glass jar (containing a substance called sodium chloride),you are in foundry,1,MoritzLaurer/MiniLM-L6-mnli
You see a lighter,you are in foundry,1,MoritzLaurer/MiniLM-L6-mnli
"You see a oven, which is turned off. The oven door is closed.",you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
You see a painting,you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
"You see a sink, which is turned off. In the sink is: nothing.",you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
You see a substance called soap,you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
"You see a stopwatch, which is deactivated.",you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
"You see a stove, which is turned off. On the stove is: nothing.",you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
You see a table. On the table is: a glass cup (containing nothing).,you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
A door to the bathroom (that is open),you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
A door to the outside (that is open),you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
"In your inventory, you see: an orange a thermometer, currently reading a temperature of 10 degrees celsius ",you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the kitchen.,you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a chair. On the chair is: nothing.,you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
"You see a counter. On the counter is: a bowl (containing a red apple, a banana, an orange, a potato), a drawer.",you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a cupboard. The cupboard door is closed.,you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a freezer. The freezer door is closed.,you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a fridge. The fridge door is closed.,you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a glass jar (containing a substance called sodium chloride),you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a lighter,you are in bathroom,1,MoritzLaurer/MiniLM-L6-mnli
"You see a oven, which is turned off. The oven door is closed.",you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a painting,you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
"You see a sink, which is turned off. In the sink is: nothing.",you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a substance called soap,you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
"You see a stopwatch, which is deactivated.",you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
"You see a stove, which is turned off. On the stove is: nothing.",you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a table. On the table is: a glass cup (containing nothing).,you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
A door to the bathroom (that is open),you are in bathroom,0,MoritzLaurer/MiniLM-L6-mnli
A door to the outside (that is open),you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the foundry.,you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
"You see a blast furnace, which is turned off. The blast furnace door is closed.",you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
You see a table. On the table is: nothing.,you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the foundry.,you are in art studio,2,MoritzLaurer/MiniLM-L6-mnli
"You see a blast furnace, which is turned off. The blast furnace door is closed.",you are in art studio,1,MoritzLaurer/MiniLM-L6-mnli
"You see a sink, which is turned off. In the sink is: nothing.",you are in art studio,1,MoritzLaurer/MiniLM-L6-mnli
You see a table. On the table is: nothing.,you are in art studio,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the foundry.,you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
"You see a blast furnace, which is turned off. The blast furnace door is closed.",you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a table. On the table is: nothing.,you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the foundry.,you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
"You see a blast furnace, which is turned off. The blast furnace door is closed.",you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
You see a table. On the table is: nothing.,you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the foundry.,you are in living room,2,MoritzLaurer/MiniLM-L6-mnli
"You see a blast furnace, which is turned off. The blast furnace door is closed.",you are in living room,2,MoritzLaurer/MiniLM-L6-mnli
"You see a sink, which is turned off. In the sink is: nothing.",you are in living room,2,MoritzLaurer/MiniLM-L6-mnli
You see a table. On the table is: nothing.,you are in living room,2,MoritzLaurer/MiniLM-L6-mnli
A door to the outside (that is open),you are in living room,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the foundry.,you are in workshop,2,MoritzLaurer/MiniLM-L6-mnli
"You see a blast furnace, which is turned off. The blast furnace door is closed.",you are in workshop,1,MoritzLaurer/MiniLM-L6-mnli
You see a table. On the table is: nothing.,you are in workshop,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the foundry.,you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
"You see a blast furnace, which is turned off. The blast furnace door is closed.",you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
You see a table. On the table is: nothing.,you are in outside,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the foundry.,you are in foundry,0,MoritzLaurer/MiniLM-L6-mnli
"You see a blast furnace, which is turned off. The blast furnace door is closed.",you are in foundry,1,MoritzLaurer/MiniLM-L6-mnli
You see a table. On the table is: nothing.,you are in foundry,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the foundry.,you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
"You see a blast furnace, which is turned off. The blast furnace door is closed.",you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a table. On the table is: nothing.,you are in bathroom,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the bathroom.,you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
"You see a bathtub, which is turned off. In the bathtub is: nothing.",you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
You see a drawing,you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
